mapname,LT_lat_map,LT_lon_map,RB_lat_map,RB_lon_map,region
satellite01.tif,29.774065,115.970635,29.702283,115.996851,Changjiang-20
satellite02.tif,29.817376,116.033769,29.725402,116.064566,Changjiang-23
satellite03.tif,32.355491,119.805926,32.29029,119.900052,Taizhou-1
satellite04.tif,32.254036,119.90598,32.151018,119.954509,Taizhou-6
satellite05.tif,24.666899,102.340055,24.650422,102.365252,Yunnan
satellite06.tif,32.373177,109.63516,32.346944,109.656837,Zhuxi
satellite07.tif,40.340058,115.791182,40.339604,115.79923,Donghuayuan
satellite08.tif,30.947227,120.136489,30.903521,120.252951,Huzhou-3
satellite09.tif,30.999512,120.030076,30.910733,120.149648,Huzhou-3
satellite10.tif,40.355093,115.776356,40.341475,115.794041,Huailai
satellite11.tif,38.852301,101.013109,38.807825,101.092483,Shandan
